Title,Description,Compensation,Address,Employment Type,URL
Junior to Intermediate Architects,"Architectural office specializing in New Buildings, primarily in the multifamily sector is seeking motivated Junior to Intermediate Architects. We are seeking candidates who are highly motivated, detail oriented and looking to be an integral part of our office. 

Qualified candidates should be proficient in AutoCAD, and Microsoft Office, proficiency with graphic programs is preferred, but not required. Strong design and presentation skills are also desirable. Familiarity with NYC Building Code, and Zoning is a plus.

This is a position with unlimited potential for growth, if you meet the above qualifications, we look forward to hearing from you. For consideration, please forward your resume, portfolio, work samples, and salary requirements. 

Thank you and Good Luck!",based on experience,,full-time,https://newyork.craigslist.org/mnh/egr/d/junior-to-intermediate/6645768020.html
CAD DRAFTER,"STEEL FABRICATION AND INSTALLATION OF MISC METAL AND STRUCTURAL SHOP,  FIELD DIMENSIONS, SHOP DWGS AND SUPERVISION. TRAIN ""L"" TO ATLANTIC AVE STATION, BROOKLYN. PLEASE EMAIL RESUME.

Job Requirements: Must be proficient at Auto Cad programs and well oriented with field dimensions

Job Schedule: Monday to Friday  From 8:00 Am to 4:30 Pm",FROM $ 14 PER HOUR AND ABOVE ACCORDING TO EXPIERENCE,BROOKLYN,full-time,https://newyork.craigslist.org/brk/egr/d/cad-drafter/6645565530.html
Field Technician - Civil Engineering / Material Science (NYC),"Our firm is seeking an enthusiastic candidate, who displays a genuine interest in gaining practical knowledge, to join our team as a Field Technician. The candidate will work alongside our Principals and Project Manager to conduct investigations, condition surveys, assist with repairs and rehabilitation design work, and construction administration. Projects range from inspecting routine parking structures, bridges, buildings, tunnels, and power stations to preserving historically significant buildings and national landmarks within the US.

Having a background in construction, civil / structural engineering, architecture, historic preservation, science or mathematics is ideal but not necessary to be considered for the position. We are looking for hard-working, self-starters with varied experience, eager to learn and contribute to a small yet rewarding team. This opportunity would be ideal for a recent graduate or someone looking for an entry-level position. Mentorships and company paid educational opportunities / certifications are available to employees who desire to advance themselves within the position. 

Echem Consultants (e2chem.com) is headquartered in Poughkeepsie, NY (1.5 hrs north from New York City via Metro North train) and has a satellite office in New York City.  This position is for the New York City Office.  

Skills Desired:
Familiarity with Microsoft Office Suite (Word & Excel)
Interested in collecting data and analyzing findings
Having an aptitude with technology or devices (training on equipment used for projects will be provided)

Requirements:
Having a positive attitude and being a team player!

Job Benefits:
Medical, Dental Coverage Options
Paid Time Off & Paid Holidays
Travel / Expenses Reimbursement
Educational Assistance Program
Competitive Compensation and Annual Performance Reviews

Employment type: full-time",Depends on experience,Midtown,full-time,https://newyork.craigslist.org/mnh/egr/d/field-technician-civil/6645155681.html
Structural Engineer,"Firm Description:
Our Consulting Engineering firm has been successfully serving the engineering needs of public and private sector clients for more than 75 years. Over the past seven decades we have been instrumental in helping local governments and private industry to address sanitary and environmental concerns, as well as other engineering needs associated with residential and commercial expansion. We are also skilled at working in partnership with other engineering firms that require supplemental assistance in Municipal Engineering Services, Water Services, Wastewater Services, Construction Management Services, and Environmental Services.

Job Description:
Seeking an experienced Senior Structural Engineer who has an exceptional track record in the design, analysis and detailing of structural systems. The ideal candidate will be self-motivated and be able to effectively carry out complete designs and also be able to supervise one or two entry level engineers. Effective organizational and interpersonal skills are essential.

Qualification/Skill Requirements:
Review appropriate Building Codes and prepare structural analysis
Design gravity and lateral load resisting systems utilizing all current industry available materials
Proficiency with analysis programs - STAAD Pro, RISA, RAM or similar.
Experience with Revit.
Engineering of steel and concrete superstructures.
Perform inspections and provide structural assessment of existing buildings and reports
Review shop drawings.
Construction Experience.
Ability to mentor junior engineers and technicians.

Education / Experience:
Bachelor Degree in Civil Engineering degree, Master's degree preferred.
Licensed PE/ SE preferred.
Minimum 5 - 8 years project management and engineering experience
Experience with complex analysis tools for Structural design.
Excellent analytical skills and understanding of engineering statistics, dynamics and structural load path.
Excellent written and verbal communication skills
Proficiency in AutoCAD (3D and 2D)

Location: NY Metro Area
Job Type: Employee
Job Status: Fulltime
Compensation: $80,000.00 to $110,000.00 /year.
Health Insurance Benefits
401 K

Additional Information:Candidate must be able to legally and lawfully work in the United States without any kind of Visa sponsorship requirements.

*NO RELOCATION ASSISTANCE WILL BE PROVIDED*","$80,000.00 to $110,000.00 / Year",Tarrytown,full-time,https://newyork.craigslist.org/wch/egr/d/structural-engineer/6645493195.html
Project Manager/ Estimator,"Project manager/ Estimator needed for drywall company based in queens.
Must have experience estimating drywall jobs.
Must have experience as a project manager on drywall jobs
Must be reliable, motivated and excellent organizational skills.
Proficient in  take off, reading plans, prepare proposals, quick books, Microsoft word and excel.
Must have the ability to price new and existing drywall construction.
Please send salary requirements with resume.
The ideal candidate must be well versed in the drywall industry",Based on experience,queens,full-time,https://newyork.craigslist.org/que/egr/d/project-manager-estimator/6644239430.html
Seeking Production Manager for Display/Experiential Production Company,"Standard Transmission Productions (www.stp.nyc) is a rapidly growing integrated Display and Experience company, specializing in technology and creative fabrication for multiple Fortune 500 clients in Retail, Advertising, and Consumer Brands. STP has over 22,000 ft2 of fabrication and design space in Brooklyn, NY and employs a highly skilled fabrication team including specialists in design, scenic, carpentry, metal fabrication, technology, digital signage, animatronics, & content creation. 
 
STP is seeking a hands-on full-time Projection Manager to lead a team of seasoned fabricators to deliver memorable experiences rooted in best-in-class design, craftsmanship, and the latest technology. Projects include custom fabrication for events, pop-ups, retail, ad campaigns and theater. Clients include major retailers, artists, museums, galleries, ad agencies, and cultural institutions.

Our ideal candidate has extensive experience fabricating a wide range of products and experiences with a variety of materials, including but not limited to wood, metal and acrylic. Figuring out how things are built is innate to who you are and how you operate.  The candidate will be well versed in the costs of materials and labor and familiar with costing out projects and replying to RFPs. 

Position to start immediately.



Responsibilities:


Ingesting and executing proposals and bids associated with incoming RFP's and collaborating on bids with the new business team 
Creating quick renders of concepts for new business proposals 
Overseeing the Design & Draft teams to review and validate production drawings
Working with the Producer to create fabrication timelines, budgets and resource plans 
Assist with procuring new talent and expanding STP's roster of freelancers 
Order and tracking materials for projects
Design and Production Quality Control 


Requirements:

5+ years proven experience directing $300-1.5M fabrication projects 
5+ years of fabrication shop experience.
Proficient at defining fabrication approach and budget for a variety of projects
Proficient with Autocad / Rhino / Solidworks 
Experience with project management software e.g. Trello, Harvest, Smartsheets, Google Docs
Great communication and problem solving skills and an innate ability to inspire and motivate teams",85-95k,"Brooklyn, NY",full-time,https://newyork.craigslist.org/brk/egr/d/seeking-production-manager/6642364381.html
Freelance MEP Engineer,"Company: New York Engineers  		
Position: Freelance Mechanical, Electrical, Plumbing  Survey Engineers
Location:  NYC                                              


Company Description: 
 
New York Engineers is the most innovative MEP Engineering firm on the planet.  We are recognized as an Inc 5000 fastest growing company in the US.  Our mission is to deliver 10,000 drama-free construction projects nationwide by 2027.   To do this we have an outstanding digital presence.  We have a global delivery system capable of producing designs produced quickly and affordably.  Our clients are the top Architects and Real Estate developers. 
 
 
Mission of the Position 
 
Your mission is to work as Freelance Consultants for the trades Mechanical, Electrical and Plumbing. You can be experienced in either one or all three. You would be responsible for surveying and inspection of sites, meeting clients. You will build relationships with top Architects and Real Estate Developers.  You will have a massive impact disrupting an old MEP industry.  You will grow professionally and personally leading the team in your image, being empowered to perform. Enjoy the freedom to work from home.
 
Key Criteria / Requirements 

Ability to survey MEP systems during normal business hours.
You have 5-10 years of experience in the NYC MEP engineering industry, in surveying and inspection. 
Experienced in Autocad. 
P.E not necessary
Excellent Communication skills.
Willingness to travel in NYC metro area to survey sites .
Perform Peer reviews of MEP designs.
Able to markup drawings clearly. 


Reply with your resume and hourly rate.",40$ to 60$ per hour,Midtown,employee's choice,https://newyork.craigslist.org/mnh/egr/d/freelance-mep-engineer/6629985856.html
AUTO CAD DRAFTER / DETAILER,"We are looking for an Rebar Detailer for a Construction company with experience working with drafting programs, prepare Change Orders, etc. for construction. Location in Brooklyn NY. Must know Excel, World, Outlook: ACAD.",AUTO CAD DRAFTER / DETAILER,,full-time,https://newyork.craigslist.org/brk/egr/d/auto-cad-drafter-detailer/6629971310.html
Lead HVAC Mechanic Needed,"The Osborn in Rye, NY Is looking for a Full-Time HVAC Mechanic.


Under the direction of the Director of Facilities and Property and the Facility Supervisor, the HVAC Mechanic inspects, operates, maintains, installs, and upgrades various types of heating, ventilation, and air conditioning and refrigeration equipment.  Also manages the A/C shop, submits inventory lists, orders refrigerant, prioritizes work requests, and provides direction when working with Facilities staff.        

High School diploma or GED
Fluent in English both written and verbal
Strong knowledge of local and national hvac and refrigeration codes
Must hold a Universal EPA Refrigerant Handlers Certificate
Must be able to work with black iron, cast iron, malleable steel, copper, brass, and plastic pipe.
Must be able to cut, thread, hang, braze, sweat, and install the above-mentioned material.
Must be knowledgeable in DDC controls, process controls valves, and related systems.
Must be able to plan and implement new equipment installations and special projects.
Must be able to exercise supervision. 
Good communication is a must and must be competent to deal with Osborn Residents.",Hourly,Rye.,full-time,https://newyork.craigslist.org/wch/egr/d/lead-hvac-mechanic-needed/6630041108.html
Architect / Drafter,"A busy Architectural Design and Consulting firm is looking for a talented individual to help grow our practice. 

Our work includes renovations and ground ups of small, medium and large scale single and multi-family residential, commercial, community facility and mixed-use projects.

Responsibilities will include production of design development and construction documents, and direct client interaction. Candidates must be self-motivated, reliable and able to manage all aspects of a project.

Candidate Qualifications:
Professional experience in an architectural office.
Be familiar with NYC codes and zoning.
Knowledge of construction materials, details and methods.
Proficiency in Revit and AutoCAD.

We are looking for highly motivated individuals who are willing to take on responsibility and grow with our team. Interested applicants must be quick to learn and adapt new drawing methods, related zoning & code rules, DOB and related agency requirements. detail-oriented, collaborative, and eager to take on challenges

Qualified individuals should submit a *brief description of your qualifications, *work samples, *starting salary requirements, in pdf or word format",Based on Qualifications,,full-time,https://newyork.craigslist.org/brk/egr/d/architect-drafter/6630135090.html
MECHANICAL PROJECT SUPERVISOR,"EXPERIENCED IN SUPERVISING  SUB-CONTRACTORS ON A MECHANICAL PROJECT IN NEW YORK CITY

MUST BE ABLE TO WORK AND COMMUNICATE WITH SUBS AND RESOLVE ANY FIELD ISSUES THAT ARISE

MUST BE ABLE TO READ PRINTS AND IDENTIFY ANY DIFFERENCES BETWEEN THE PLANS AND FIELD CONDITIONS AND RESOLVE THEM

MECHANICAL ENGINEER A PLUS

COMPUTER LITERATE

MUST HAVE OSHA  30 HOUR CERTIFICATE",DEPENDING ON EXPERIENCE,NYC,full-time,https://newyork.craigslist.org/mnh/egr/d/mechanical-project-supervisor/6630188128.html
Operating Engineer and Maintenance Associate,", a prestigious, global non-profit with an exciting portfolio of programs in the areas of public policy, arts and culture, and education, seeks an   to operate and maintain Building and its Plant in the highest standards both in our NYC location. And a  to maintain the offices and public areas in the finest and cleanest condition. 

 5 years' experience in building operations, electrical, plumbing and HVAC equipment. NYC certificate of qualification for Refrigeration Systems Operator required,. Certified New York City Fire Department Fire Safety Director. NYC Fire Department certificates of fitness F-14, 21, 33 and 37.Work Knowledge of Microsoft Office software. Ability to make independent decisions during an emergency. 

 HSD/GED. One to two years' experience with building mechanical equipment and housekeeping. Experience with power machines. Dependable, hardworking, motivated, honest and flexible with working hours. NYC Fire Guard certification preferred. Ability to read and write English.



Resumes without cover letters will not be accepted.  No phone calls, please.   Please regard your resume as having been received unless your email is bounced back. Asia Society is an eoe.",Competitive Compensation and Benefits.,Upper East Side,full-time,https://newyork.craigslist.org/mnh/egr/d/operating-engineer-and/6630222711.html
Project Architect,"Highly regarded full-service architecture + design firm known for large-scale project experience locally and internationally looking for an Project Architect. This is a technically focused role working on a highly publicized project in New York. This role has the opportunity to turn into a leadership role for the right person.

The right person for this will have:

Bachelor of Architecture (Masters Preferred)
4+ years of experience
Revit proficiency
Large-scale, complex project experience from DD to CA

This is a full-time, salaried position.
Please send resume along with attached work samples of no more than 10MB.",very competitive salary with generous benefits,Financial District,full-time,https://newyork.craigslist.org/mnh/egr/d/project-architect/6630228347.html
Project Coordinator - Steel Construction Company,"Project Coordinator - Steel Construction Company

Our growing company is seeking to hire a Project Coordinator who will be in charge of assisting our Project Managers in organizing our ongoing projects. This task involves monitoring project plans, schedules, purchasing, organizing and participating in stakeholder meetings and ensure that project deadlines are met in a timely manner.
To be successful in this position, you will need to work on deadlines, be competent in using Microsoft Office applications (Words and Excel), and have exceptional verbal, written, and presentation skills. At least one (1) year relevant experience is required for consideration.

Responsibilities:	
•	Interpret and understandings blueprint drawings 
•	Procure material as per drawings 
•	Prepare delivery ticket and double check to see the correct item on the truck for delivery 
•	Assist in writing safe work plan and quality work plan with guidance by the PM
•	 Fill in for coordination meeting whenever PM not available for documentation purposes only
•	Able to respond to contractor questions in a timely manner
•	All other duties assigned by PM

Requirements:
•	One year experience in related field, preferably in construction
•	Exceptional verbal, written and interpersonal skills
•	Ability to work both effectively and independently and as part of a team
•	Experience using computer for a variety of task (competency in MS Words, MS Excel, and Emails).
•	Ability to work on deadlines",TBD,Queens,full-time,https://newyork.craigslist.org/que/egr/d/project-coordinator-steel/6630260123.html
Intermediate Architect/Designer,"DESCRIPTION
SPACECUTTER is a small architecture studio with big designs. Their work has been published in Dwell magazine; published in hardcover by Gestalten; has been on display at the AIA Center for Architecture & is a recent recipient of a prestigious international design prize (to be announced). The studio is located in Williamsburg, Brooklyn. Position is temporary, approximately 6-10, weeks but may lead to a full-time position.

CANDIDATE
-Intermediate Architect/Designer
-Bachelor or Master of Architecture degree required
-7-10 years work experience
-Excellent references
- Valid working permit
- Fluent in English

SKILLS
- Goal-oriented team player
- Desire to achieve design excellence
- Able to multi-task, be organized & work independently
- Fluency with basic building/zoning codes & standard building details
- Capable of producing full Construction & Permit Documents with supervision
- Software Fluency: Microstation (preferred), AutoCAD, 3DS Max, Photoshop, Corona Render (preferred)
- Ability to produce 3D computer renderings is a plus

APPLICATION
-Resume
-Cover letter
-Work samples (not to exceed 5MB)
-Hourly salary requirements
-Incomplete applications will not be considered, thank you",Hourly,,contract,https://newyork.craigslist.org/brk/egr/d/intermediate-architect/6643502676.html
